Ref,Val,Package,PosX,PosY,Rot,Side
"C79","4.7u","C_0201_0603Metric",53.800000,-77.300000,180.000000,bottom
"C84","4.7u","C_0201_0603Metric",52.680000,-82.600000,180.000000,bottom
"J3","Conn_02x10_Odd_Even","CONN-SMD_FTSH-110-01-L-DV-K-TR",56.940000,-83.770000,-90.000000,bottom
"R7","Poka Yoke UART","poka_yoke_uart_SMD",47.740000,-79.070000,-90.000000,bottom
"R10","Poka Yoke UART","poka_yoke_uart_SMD",47.640000,-88.570000,180.000000,bottom
"C1","10n","C_0201_0603Metric",36.910000,-75.500000,0.000000,top
"C2","10n","C_0201_0603Metric",36.955000,-91.700000,0.000000,top
"C3","10u","C_0201_0603Metric",38.610000,-75.500000,0.000000,top
"C4","10u","C_0201_0603Metric",41.400000,-76.100000,0.000000,top
"C5","10u","C_0201_0603Metric",38.672500,-91.500000,0.000000,top
"C6","10u","C_0201_0603Metric",43.200000,-90.445000,-90.000000,top
"C38","100nF","C_0201_0603Metric",59.000000,-94.100000,0.000000,top
"C39","100nF","C_0201_0603Metric",47.500000,-84.900000,90.000000,top
"C49","100nF","C_0201_0603Metric",43.455000,-94.745000,180.000000,top
"C50","3u3","C_0201_0603Metric",55.600000,-84.945000,90.000000,top
"C51","3u3","C_0201_0603Metric",55.375000,-66.800000,90.000000,top
"C52","100nF","C_0201_0603Metric",43.145000,-76.100000,180.000000,top
"C53","100nF","C_0201_0603Metric",47.275000,-66.800000,90.000000,top
"C54","100nF","C_0201_0603Metric",58.775000,-76.100000,0.000000,top
"C55","100nF","C_0201_0603Metric",43.975000,-71.845000,-90.000000,top
"C66","100nF","C_0201_0603Metric",48.675000,-66.800000,90.000000,top
"C67","100nF","C_0201_0603Metric",43.220000,-71.845000,-90.000000,top
"C68","10u","C_0201_0603Metric",43.145000,-76.800000,180.000000,top
"C69","100nF","C_0201_0603Metric",47.975000,-66.800000,90.000000,top
"C70","10u","C_0201_0603Metric",41.310000,-91.500000,0.000000,top
"C71","100nF","C_0201_0603Metric",43.455000,-95.545000,180.000000,top
"C72","100nF","C_0201_0603Metric",49.600000,-84.900000,90.000000,top
"C73","100nF","C_0201_0603Metric",48.900000,-84.900000,90.000000,top
"C74","100nF","C_0201_0603Metric",54.800000,-84.945000,90.000000,top
"C75","100nF","C_0201_0603Metric",49.475000,-66.800000,90.000000,top
"C76","100nF","C_0201_0603Metric",48.200000,-84.900000,90.000000,top
"C77","100nF","C_0201_0603Metric",54.575000,-66.800000,90.000000,top
"C78","100nF","C_0201_0603Metric",43.900000,-90.445000,-90.000000,top
"C80","100nF","C_0201_0603Metric",49.200000,-99.880000,-90.000000,top
"C81","100nF","C_0201_0603Metric",54.800000,-99.880000,-90.000000,top
"C82","100nF","C_0201_0603Metric",58.980000,-91.700000,0.000000,top
"C83","100nF","C_0201_0603Metric",51.800000,-84.900000,90.000000,top
"C85","100nF","C_0201_0603Metric",58.755000,-73.600000,0.000000,top
"C86","100nF","C_0201_0603Metric",49.075000,-81.745000,-90.000000,top
"C87","100nF","C_0201_0603Metric",51.575000,-66.845000,90.000000,top
"C88","100nF","C_0201_0603Metric",54.475000,-81.755000,-90.000000,top
"F1","6V 2A","Fuse_1210_3225Metric",38.510000,-69.300000,0.000000,top
"F2","6V 2A","Fuse_1210_3225Metric",38.510000,-97.800000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",31.410000,-73.000000,-90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",31.410000,-94.000000,-90.000000,top
"JTAG1","LED","LED_0402_1005Metric",41.000000,-81.885000,90.000000,top
"JTAG2","LED","LED_0402_1005Metric",41.000000,-85.600000,-90.000000,top
"R1","5k1","R_0201_0603Metric",36.910000,-71.800000,0.000000,top
"R2","5k1","R_0201_0603Metric",36.910000,-92.800000,0.000000,top
"R3","5k1","R_0201_0603Metric",36.910000,-74.800000,0.000000,top
"R4","5k1","R_0201_0603Metric",36.910000,-95.800000,0.000000,top
"R5","22R","R_0201_0603Metric",43.655000,-73.700000,0.000000,top
"R6","22R","R_0201_0603Metric",43.455000,-92.445000,0.000000,top
"R8","22R","R_0201_0603Metric",43.655000,-74.500000,0.000000,top
"R9","22R","R_0201_0603Metric",43.455000,-93.145000,0.000000,top
"R41","150","R_0201_0603Metric",39.100000,-87.315000,90.000000,top
"R42","150","R_0201_0603Metric",37.200000,-87.345000,90.000000,top
"R43","150","R_0201_0603Metric",41.000000,-87.400000,90.000000,top
"R44","150","R_0201_0603Metric",39.100000,-80.200000,-90.000000,top
"R49","150","R_0201_0603Metric",37.100000,-80.200000,-90.000000,top
"R63","150","R_0201_0603Metric",41.000000,-80.165000,-90.000000,top
"R64","12k","R_0201_0603Metric",43.655000,-73.000000,180.000000,top
